id,term,easy_term,definition,replace_strategy,risk_level,sources,reviewed_at,reviewed_by
1763,생계급여,먹고 입고 사는 데 필요한 돈을 주는 급여,"옷, 음식, 연료비처럼 살아가는 데 기본적으로 필요한 돈이나 물건을 지원해서 생활을 이어갈 수 있도록 돕는 급여입니다.",gloss,high,easydict:welfare-seed1,,
2174,소급,지난 날짜까지 거슬러 적용함,결정의 효력을 지금이 아니라 지난 어느 날짜부터 있었던 것으로 치는 일입니다.,gloss,high,easydict:welfare-seed5,,
1772,소득인정액,심사에 쓰는 우리 가구의 소득·재산 계산값,"국가가 급여를 정할 때 쓰려고 계산한, 우리 가구의 소득과 재산을 합친 금액입니다.",gloss,high,easydict:welfare-seed1,,
2163,소명,사정을 설명함,관공서의 판단에 대해 자기 사정이나 이유를 설명하는 일입니다.,gloss,high,easydict:welfare-seed4,,
1761,수급자,지금 급여를 받고 있는 사람,국민기초생활보장제도에 따라 생계급여·의료급여 같은 복지 급여를 지금 실제로 받고 있는 사람입니다. '기초생활보장수급자'를 줄인 말입니다.,gloss,high,easydict:welfare-seed1,,
2175,유예,미뤄 줌,해야 할 일이나 내야 할 돈의 시기를 뒤로 미뤄 주는 일입니다.,gloss,high,easydict:welfare-seed5,,
1764,의료급여,병원비 등 치료비를 도와주는 급여,아프거나 다쳐서 병원비를 내기 어려운 사람에게 나라가 의료비를 도와주는 제도입니다.,gloss,high,easydict:welfare-seed1,,
2146,이의신청,다시 판단해 달라고 요청하는 일,결정에 동의할 수 없을 때 정해진 기간 안에 다시 살펴 달라고 공식으로 요청하는 절차입니다.,gloss,high,easydict:welfare-seed3,,
2177,장애정도,장애가 심한 정도,장애가 얼마나 심한지를 '심한 장애'와 '심하지 않은 장애' 두 가지로 나눈 구분입니다.,gloss,high,easydict:welfare-seed5,,
2150,재산의 소득환산액,재산을 소득으로 바꿔 계산한 값,집이나 예금 같은 재산을 정해진 방식으로 소득처럼 환산한 금액입니다. 소득인정액을 구할 때 실제 소득에 더합니다.,gloss,high,easydict:welfare-seed3,,
2180,재판정,다시 판정받는 것,장애 정도나 자격을 정해진 시기에 다시 심사받는 일입니다.,gloss,high,easydict:welfare-seed5,,
1765,주거급여,집세,집을 빌려 사는 데 드는 돈(임차료)이나 집을 고치는 비용을 도와주는 급여입니다.,gloss,high,easydict:welfare-seed1,,
1766,주거급여,집수리비를 도와주는 급여,집을 빌려 사는 데 드는 돈(임차료)이나 집을 고치는 비용을 도와주는 급여입니다.,gloss,high,easydict:welfare-seed1,,
1771,중위소득,소득을 줄 세웠을 때 한가운데 값,가구를 소득이 적은 순서대로 놓았을 때 가운데에 있는 소득입니다. 복지 안내에서 쓰는 기준 중위소득은 이를 바탕으로 나라가 따로 정해 발표하는 값입니다.,gloss,high,easydict:welfare-seed1,,
2178,중증,심한 정도,문맥에 따라 두 가지 뜻으로 쓰입니다. ①의료 문서의 '중증질환'은 병이 몹시 심하다는 뜻입니다. ②장애인 제도의 '중증장애인'은 장애의 정도가 심한 경우를 가리키는 법적 분류입니다.,gloss,high,easydict:welfare-seed5,,
2162,중지,잠시 멈춤,지급하던 급여나 서비스를 멈추는 일입니다.,gloss,high,easydict:welfare-seed4,,
2166,차상위,기초생활수급자 바로 위 소득층,기초생활수급자에는 해당하지 않지만 소득이 그 바로 위여서 지원 대상이 되는 계층입니다.,gloss,high,easydict:welfare-seed4,,
1769,차상위계층,기초생활수급자 바로 위 소득의 저소득층,"기초생활수급자는 아니지만, 소득이 적어서(기준 중위소득의 50% 이하) 여러 지원을 받을 수 있는 사람들입니다.",gloss,high,easydict:welfare-seed1,,
2154,처분,관공서가 내리는 결정,"관공서가 개인의 권리나 의무에 영향을 주는 결정을 내리는 일입니다. 지원 결정, 중지 결정, 환수 결정이 모두 처분입니다.",gloss,high,easydict:welfare-seed4,,
2110,체납,세금 등을 정해진 기간까지 내지 못해 밀림.,세금 등을 정해진 기간까지 내지 못해 밀림.,gloss,high,krdict:advanced-v2,,
2148,해산급여,아기를 낳을 때 주는 돈,수급자가 아기를 낳거나 낳을 때 드는 비용을 돕는 급여입니다.,gloss,high,easydict:welfare-seed3,,
2183,해제,풀어 줌,걸려 있던 제한이나 정해 두었던 상태를 없애는 일입니다.,gloss,high,easydict:welfare-seed5,,
2158,환급,도로 돌려받음,더 냈거나 잘못 낸 돈을 돌려받는 일입니다. 받는 사람에게 유리한 방향입니다.,gloss,high,easydict:welfare-seed4,,
2159,환급하다,도로 돌려주다,더 냈거나 잘못 낸 돈을 돌려주는 일입니다. 받는 사람에게 유리한 방향입니다.,gloss,high,easydict:welfare-seed4,,
1585,환수,이미 준 돈이나 물건을 다시 거두어들임,이미 준 돈이나 물건을 다시 거두어들이는 일입니다.,gloss,high,nikl:admin2018,,
1977,가족력,"앓은 병, 유전병, 사망 원인 등 질병에 대한 한 가족의 의학적 특성.","앓은 병, 유전병, 사망 원인 등 질병에 대한 한 가족의 의학적 특성.",gloss,low,krdict:advanced-v2,,
1978,간암,간에 생기는 암.,간에 생기는 암.,gloss,low,krdict:advanced-v2,,
1812,감면,깎아 줌,내야 하는 돈이나 형벌 등을 줄여 주거나 면제함.,substitute,none,krdict:advanced,,
1935,감액,액수를 줄임. 또는 그 액수.,액수를 줄임. 또는 그 액수.,gloss,low,krdict:advanced-v2,,
1979,감염병,병원체가 인간이나 동물의 몸 안에서 증식하여 다수에게 전파되는 질병.,병원체가 인간이나 동물의 몸 안에서 증식하여 다수에게 전파되는 질병.,gloss,low,krdict:advanced-v2,,
1936,개시일,행동이나 일 등을 처음 시작하는 날.,행동이나 일 등을 처음 시작하는 날.,gloss,low,krdict:advanced-v2,,
1807,개요,전체 내용 중에서 주요 내용을 뽑아 간략히 정리한 것.,전체 내용 중에서 주요 내용을 뽑아 간략히 정리한 것.,gloss,low,krdict:advanced,,
1821,개인별,개인에 따라 각각 갈라놓은 것.,개인에 따라 각각 갈라놓은 것.,gloss,low,krdict:advanced,,
1822,개입,직접적인 관계가 없는 일에 끼어듦.,직접적인 관계가 없는 일에 끼어듦.,gloss,low,krdict:advanced,,
1922,개정안,옳지 않거나 알맞지 않은 법이나 규칙을 바르게 고친 내용.,옳지 않거나 알맞지 않은 법이나 규칙을 바르게 고친 내용.,gloss,low,krdict:advanced-v2,,
1980,개편,"기구나 조직, 프로그램 등을 고치고 바꾸어서 다시 만듦.","기구나 조직, 프로그램 등을 고치고 바꾸어서 다시 만듦.",gloss,low,krdict:advanced-v2,,
1875,거동,몸을 움직임. 또는 그러한 태도나 행동.,몸을 움직임. 또는 그러한 태도나 행동.,gloss,low,krdict:advanced,,
1981,거부감,어떤 것을 받아들이고 싶지 않은 느낌.,어떤 것을 받아들이고 싶지 않은 느낌.,gloss,low,krdict:advanced-v2,,
1798,거주,살다,일정한 곳에 머물러 삶.,substitute,none,krdict:advanced,,
1785,거주지,사는 곳,머물러 살고 있는 장소.,substitute,none,krdict:advanced,,
1982,거주하다,일정한 곳에 머물러 살다.,일정한 곳에 머물러 살다.,gloss,low,krdict:advanced-v2,,
1983,건수,특정한 사건이 일어난 횟수.,특정한 사건이 일어난 횟수.,gloss,low,krdict:advanced-v2,,
1984,건축물,땅 위에 지은 건물이나 시설.,땅 위에 지은 건물이나 시설.,gloss,low,krdict:advanced-v2,,
1909,검진,건강 상태를 알아보기 위하여 증상이나 상태를 살핌.,건강 상태를 알아보기 위하여 증상이나 상태를 살핌.,gloss,low,krdict:advanced-v2,,
1985,격차,"수준이나 품질, 수량 등이 서로 벌어진 차이.","수준이나 품질, 수량 등이 서로 벌어진 차이.",gloss,low,krdict:advanced-v2,,
1986,견인,물체를 끌어당김.,물체를 끌어당김.,gloss,low,krdict:advanced-v2,,
1987,결성,모임이나 단체를 조직함.,모임이나 단체를 조직함.,gloss,low,krdict:advanced-v2,,
1937,결여,있어야 할 것이 없거나 모자람.,있어야 할 것이 없거나 모자람.,gloss,low,krdict:advanced-v2,,
1938,고령,나이가 많음,나이가 많음. 또는 많은 나이.,substitute,none,krdict:advanced-v2,,
1939,고령자,나이가 많은 사람.,나이가 많은 사람.,gloss,low,krdict:advanced-v2,,
1940,고립,다른 곳이나 사람과 교류하지 못하고 혼자 따로 떨어짐.,다른 곳이나 사람과 교류하지 못하고 혼자 따로 떨어짐.,gloss,low,krdict:advanced-v2,,
1941,고용,돈을 주고 사람에게 일을 시킴.,돈을 주고 사람에게 일을 시킴.,gloss,low,krdict:advanced-v2,,
1876,고지서,국가나 공공 기관에서 납입해야 하는 금액에 대한 정보를 알려 주는 문서.,국가나 공공 기관에서 납입해야 하는 금액에 대한 정보를 알려 주는 문서.,gloss,low,krdict:advanced,,
1988,고취,"생각이나 마음, 의욕 등이 강해지도록 함.","생각이나 마음, 의욕 등이 강해지도록 함.",gloss,low,krdict:advanced-v2,,
1989,공동묘지,한 지역에 여러 사람의 무덤이 있어 공동으로 관리하는 무덤.,한 지역에 여러 사람의 무덤이 있어 공동으로 관리하는 무덤.,gloss,low,krdict:advanced-v2,,
1942,공문서,공공 기관이나 단체에서 업무에 관련하여 공식적으로 작성한 서류.,공공 기관이나 단체에서 업무에 관련하여 공식적으로 작성한 서류.,gloss,low,krdict:advanced-v2,,
2152,공제,뺌,전체 금액에서 정해진 몫을 빼 주는 일입니다. 소득을 계산할 때 일부를 빼 주면 그만큼 유리해집니다.,substitute,none,easydict:welfare-seed3,,
2185,공지,알림,여러 사람에게 공식적으로 알림,substitute,none,easydict:welfare-seed5,,
1943,과반수,전체의 수에서 절반이 넘는 수.,전체의 수에서 절반이 넘는 수.,gloss,low,krdict:advanced-v2,,
1799,관내,우리 지역 안,어떤 기관이 책임을 지고 있는 구역의 안.,substitute,none,krdict:advanced,,
1990,광업,광물을 캐거나 가공하는 산업.,광물을 캐거나 가공하는 산업.,gloss,low,krdict:advanced-v2,,
1849,광역,넓은 구역이나 범위.,넓은 구역이나 범위.,gloss,low,krdict:advanced,,
1913,광역시,상급 지방 자치 단체의 하나.,상급 지방 자치 단체의 하나.,gloss,low,krdict:advanced-v2,,
1900,교부,내어 줌,공공 기관에서 공적인 문서나 자격증 등을 내어 줌.,substitute,none,krdict:advanced-v2,,
1832,교육청,시나 군을 단위로 하여 학교의 교육과 관련된 일을 맡아 하는 관청.,시나 군을 단위로 하여 학교의 교육과 관련된 일을 맡아 하는 관청.,gloss,low,krdict:advanced,,
2165,구비서류,준비할 서류,신청할 때 반드시 함께 내야 하는 서류 목록입니다.,substitute,none,easydict:welfare-seed4,,
1823,구성원,어떤 조직이나 단체를 이루고 있는 사람들.,어떤 조직이나 단체를 이루고 있는 사람들.,gloss,low,krdict:advanced,,
1991,구직,일자리 찾기,일자리를 구함.,substitute,none,krdict:advanced-v2,,
1923,구직자,일자리를 구하는 사람.,일자리를 구하는 사람.,gloss,low,krdict:advanced-v2,,
1992,군경,군대와 경찰.,군대와 경찰.,gloss,low,krdict:advanced-v2,,
1993,군청,군의 행정을 맡아보는 기관. 또는 그 기관이 있는 건물.,군의 행정을 맡아보는 기관. 또는 그 기관이 있는 건물.,gloss,low,krdict:advanced-v2,,
1994,권익,권리와 이익.,권리와 이익.,gloss,low,krdict:advanced-v2,,
1995,극도,더할 수 없이 매우 심한 정도.,더할 수 없이 매우 심한 정도.,gloss,low,krdict:advanced-v2,,
1841,근로,일하는 것,부지런히 일함.,substitute,none,krdict:advanced,,
1996,근로소득,육체적인 일이나 정신적인 일을 해서 얻는 돈.,육체적인 일이나 정신적인 일을 해서 얻는 돈.,gloss,low,krdict:advanced-v2,,
1997,금리,금융 기관에서 빌린 돈이나 예금에 붙는 이자 또는 그 비율.,금융 기관에서 빌린 돈이나 예금에 붙는 이자 또는 그 비율.,gloss,low,krdict:advanced-v2,,
1840,금품,돈이나 돈이 되는 물건.,돈이나 돈이 되는 물건.,gloss,low,krdict:advanced,,
1899,급여,일한 대가로 받는 돈.,일한 대가로 받는 돈.,gloss,low,krdict:advanced-v2,,
1998,급여액,일한 대가로 받는 돈의 액수.,일한 대가로 받는 돈의 액수.,gloss,low,krdict:advanced-v2,,
1944,기금,"공공의 목적이나 사업, 행사 등에 쓰기 위해 모은 돈.","공공의 목적이나 사업, 행사 등에 쓰기 위해 모은 돈.",gloss,low,krdict:advanced-v2,,
1999,기업체,"이윤을 목적으로 생산, 판매, 서비스 등의 사업을 하는 조직.","이윤을 목적으로 생산, 판매, 서비스 등의 사업을 하는 조직.",gloss,low,krdict:advanced-v2,,
1901,기재,적기,어떤 사실을 문서 등에 씀.,substitute,none,krdict:advanced-v2,,
1863,기한,정해진 날짜,미리 정해 놓은 시기.,substitute,none,krdict:advanced,,
2167,긴급복지,갑자기 어려워졌을 때 빨리 돕는 제도,갑작스러운 위기로 생계가 어려워진 가구를 우선 지원하고 나중에 자격을 확인하는 제도입니다.,gloss,low,easydict:welfare-seed4,,
1843,난임,임신하기 어려움. 또는 그런 상태.,임신하기 어려움. 또는 그런 상태.,gloss,low,krdict:advanced,,
1818,납부,내기,세금이나 등록금 등을 국가 또는 공공 기관에 냄.,substitute,none,krdict:advanced,,
1924,납입,내기,세금이나 공과금 등을 국가나 공공 기관에 냄.,substitute,none,krdict:advanced-v2,,
2000,내방,찾아오기,만나기 위해 찾아옴.,substitute,none,krdict:advanced-v2,,
2001,내원,병원에 옴,환자가 치료를 받기 위해 병원에 찾아옴.,substitute,none,krdict:advanced-v2,,
1945,노임,노동에 대한 보수.,노동에 대한 보수.,gloss,low,krdict:advanced-v2,,
2002,농경지,농사를 짓는 땅.,농사를 짓는 땅.,gloss,low,krdict:advanced-v2,,
2003,농어촌,농촌과 어촌.,농촌과 어촌.,gloss,low,krdict:advanced-v2,,
2004,농작물,논밭에 심어 가꾸는 곡식이나 채소.,논밭에 심어 가꾸는 곡식이나 채소.,gloss,low,krdict:advanced-v2,,
2005,누락,빠짐,포함되어야 할 부분이 목록이나 기록에서 빠짐.,substitute,none,krdict:advanced-v2,,
2006,누적,계속 반복되어 쌓임. 또는 계속 반복하여 쌓음.,계속 반복되어 쌓임. 또는 계속 반복하여 쌓음.,gloss,low,krdict:advanced-v2,,
2007,다가구주택,여러 가구가 살 수 있도록 만든 단독 주택.,여러 가구가 살 수 있도록 만든 단독 주택.,gloss,low,krdict:advanced-v2,,
1850,단가,물건 한 단위의 가격.,물건 한 단위의 가격.,gloss,low,krdict:advanced,,
1946,담당관,행정 기관의 책임자를 도와 정책을 기획하거나 연구 조사를 하는 공무원.,행정 기관의 책임자를 도와 정책을 기획하거나 연구 조사를 하는 공무원.,gloss,low,krdict:advanced-v2,,
2008,당사자,어떤 일에 직접 관계가 있는 사람.,어떤 일에 직접 관계가 있는 사람.,gloss,low,krdict:advanced-v2,,
2009,대면,직접 얼굴을 보며 만남.,직접 얼굴을 보며 만남.,gloss,low,krdict:advanced-v2,,
1947,대장암,대장에 생기는 암.,대장에 생기는 암.,gloss,low,krdict:advanced-v2,,
1877,대출금리,은행에서 빌려준 돈에 대한 이자의 비율.,은행에서 빌려준 돈에 대한 이자의 비율.,gloss,low,krdict:advanced,,
1819,도모,어떤 일을 이루기 위해 대책이나 방법을 세움.,어떤 일을 이루기 위해 대책이나 방법을 세움.,gloss,low,krdict:advanced,,
1948,도지사,도의 행정을 맡아보는 가장 높은 직위. 또는 그 직위에 있는 사람.,도의 행정을 맡아보는 가장 높은 직위. 또는 그 직위에 있는 사람.,gloss,low,krdict:advanced-v2,,
1796,돌봄,관심을 가지고 보살펴 건강한 생활을 유지하거나 건강의 회복을 돕는 일.,관심을 가지고 보살펴 건강한 생활을 유지하거나 건강의 회복을 돕는 일.,gloss,low,krdict:advanced,,
1925,동년배,나이가 같은 사람.,나이가 같은 사람.,gloss,low,krdict:advanced-v2,,
1949,등본,관청에 등록한 문서의 원본의 내용을 그대로 복사한 서류.,관청에 등록한 문서의 원본의 내용을 그대로 복사한 서류.,gloss,low,krdict:advanced-v2,,
2010,리스트,어떤 일에 관계된 물품이나 사람들의 이름을 적은 것.,어떤 일에 관계된 물품이나 사람들의 이름을 적은 것.,gloss,low,krdict:advanced-v2,,
2011,만료,끝남,정해진 기한이 다 차서 끝남.,substitute,none,krdict:advanced-v2,,
2012,만장일치,모든 사람의 의견이 같음.,모든 사람의 의견이 같음.,gloss,low,krdict:advanced-v2,,
2013,만전,빈틈이 없이 완벽함.,빈틈이 없이 완벽함.,gloss,low,krdict:advanced-v2,,
1926,면제,안 내도 됨,책임이나 의무에서 벗어나게 함.,substitute,none,krdict:advanced-v2,,
1878,명칭,사람이나 사물 등을 가리켜 부르는 이름.,사람이나 사물 등을 가리켜 부르는 이름.,gloss,low,krdict:advanced,,
2014,모색,일을 해결할 수 있는 방법이나 방향을 깊고 넓게 생각해서 찾음.,일을 해결할 수 있는 방법이나 방향을 깊고 넓게 생각해서 찾음.,gloss,low,krdict:advanced-v2,,
1864,무주택,자기 소유의 집이 없음.,자기 소유의 집이 없음.,gloss,low,krdict:advanced,,
2015,무주택자,자기 소유의 집이 없는 사람.,자기 소유의 집이 없는 사람.,gloss,low,krdict:advanced-v2,,
1824,무학,학교를 다닌 적이 없음. 또는 배우지 못함.,학교를 다닌 적이 없음. 또는 배우지 못함.,gloss,low,krdict:advanced,,
1865,물량,물건의 양.,물건의 양.,gloss,low,krdict:advanced,,
1879,미납,내지 않음,내야 할 돈을 아직 내지 못함.,substitute,none,krdict:advanced,,
2016,미등록,등록하지 않음.,등록하지 않음.,gloss,low,krdict:advanced-v2,,
1927,민법,"가족 관계, 재산 문제 등 개인의 사회생활에 관한 일반 법규.","가족 관계, 재산 문제 등 개인의 사회생활에 관한 일반 법규.",gloss,low,krdict:advanced-v2,,
2017,반파,반 정도 부서짐.,반 정도 부서짐.,gloss,low,krdict:advanced-v2,,
1779,발달장애,지적장애·자폐성장애를 함께 부르는 말,어릴 때부터 생각하는 능력이나 사회적 어울림에 어려움이 있어 다른 사람의 도움이 필요한 장애를 통틀어 이르는 말입니다. 지적장애와 자폐성장애가 여기에 속합니다.,gloss,low,easydict:welfare-seed2,,
2018,배분,각각의 몫으로 나눔.,각각의 몫으로 나눔.,gloss,low,krdict:advanced-v2,,
1928,배상금,남에게 입힌 손해를 물어 주기 위한 돈.,남에게 입힌 손해를 물어 주기 위한 돈.,gloss,low,krdict:advanced-v2,,
1792,배우자,부부 중 한쪽에서 본 상대방.,부부 중 한쪽에서 본 상대방.,gloss,low,krdict:advanced,,
1846,법원,재판을 하는 국가 기관.,재판을 하는 국가 기관.,gloss,low,krdict:advanced,,
1866,법인,나라의 법에 의하여 권리나 의무를 가지는 기관이나 단체.,나라의 법에 의하여 권리나 의무를 가지는 기관이나 단체.,gloss,low,krdict:advanced,,
1950,변화율,어떤 기준에서 달라지는 비율.,어떤 기준에서 달라지는 비율.,gloss,low,krdict:advanced-v2,,
2019,별개,서로 달라 관련되는 것이 없음.,서로 달라 관련되는 것이 없음.,gloss,low,krdict:advanced-v2,,
1847,별지,문서에 따로 덧붙이는 종이.,문서에 따로 덧붙이는 종이.,gloss,low,krdict:advanced,,
1929,보육료,어린아이들을 돌보아 기르는 데 드는 요금.,어린아이들을 돌보아 기르는 데 드는 요금.,gloss,low,krdict:advanced-v2,,
2147,보장기관,복지를 맡아 주는 관공서,급여를 결정하고 지급할 책임이 있는 관공서입니다. 보통 사는 곳의 시·군·구청과 읍면동 행정복지센터입니다.,gloss,low,easydict:welfare-seed3,,
2171,보조기기,생활을 돕는 기구,"휠체어, 보청기처럼 장애가 있는 사람의 일상생활과 이동을 돕는 기구입니다.",gloss,none,easydict:welfare-seed4,,
1786,복지,편안하고 행복하게 사는 삶.,편안하고 행복하게 사는 삶.,gloss,low,krdict:advanced,,
2145,본인부담금,내가 내는 몫,전체 비용 가운데 지원을 받고도 신청인이 직접 내야 하는 돈입니다.,gloss,low,easydict:welfare-seed3,,
1951,부가,주된 것에 덧붙이거나 이미 있는 것에 더함.,주된 것에 덧붙이거나 이미 있는 것에 더함.,gloss,low,krdict:advanced-v2,,
1848,부담금,어떤 일에 책임을 지고 내야 하는 돈.,어떤 일에 책임을 지고 내야 하는 돈.,gloss,low,krdict:advanced,,
2020,부사관,"군대에서 장교와 병사 사이에 있는 하사, 중사, 상사, 원사 계급.","군대에서 장교와 병사 사이에 있는 하사, 중사, 상사, 원사 계급.",gloss,low,krdict:advanced-v2,,
2021,부설,어떤 기관에 딸리게 하여 설치함. 또는 그런 시설.,어떤 기관에 딸리게 하여 설치함. 또는 그런 시설.,gloss,low,krdict:advanced-v2,,
2022,부양,혼자 생활하기 어려운 사람을 돌봄.,혼자 생활하기 어려운 사람을 돌봄.,gloss,low,krdict:advanced-v2,,
2023,부적격,어떤 것에 자격이 맞지 않음.,어떤 것에 자격이 맞지 않음.,gloss,low,krdict:advanced-v2,,
2024,분기,석 달,일 년을 넷으로 나눈 삼 개월씩의 기간.,substitute,none,krdict:advanced-v2,,
2025,분담,일이나 책임 등을 나누어 맡음.,일이나 책임 등을 나누어 맡음.,gloss,low,krdict:advanced-v2,,
1880,분만,아이를 낳음.,아이를 낳음.,gloss,low,krdict:advanced,,
2026,분할,여러 개로 쪼개어 나눔.,여러 개로 쪼개어 나눔.,gloss,low,krdict:advanced-v2,,
2027,불안감,마음이 편하지 않고 걱정되는 느낌.,마음이 편하지 않고 걱정되는 느낌.,gloss,low,krdict:advanced-v2,,
2028,비과세,세금을 매기지 않음.,세금을 매기지 않음.,gloss,low,krdict:advanced-v2,,
2029,비영리단체,돈을 버는 것이 목적이 아니라 사회의 이익을 추구하는 것이 목적인 단체.,돈을 버는 것이 목적이 아니라 사회의 이익을 추구하는 것이 목적인 단체.,gloss,low,krdict:advanced-v2,,
2030,사립대,개인이나 민간 단체가 세우고 운영하는 대학.,개인이나 민간 단체가 세우고 운영하는 대학.,gloss,low,krdict:advanced-v2,,
2031,사립학교,개인이나 민간 단체가 세우고 운영하는 학교.,개인이나 민간 단체가 세우고 운영하는 학교.,gloss,low,krdict:advanced-v2,,
1902,사본,복사한 것,원본을 복사하거나 베껴 놓은 서류나 책.,substitute,none,krdict:advanced-v2,,
1881,사산,임신한 지 사 개월이 지난 후 죽은 아이를 낳음.,임신한 지 사 개월이 지난 후 죽은 아이를 낳음.,gloss,low,krdict:advanced,,
1930,사업주,사업의 소유주.,사업의 소유주.,gloss,low,krdict:advanced-v2,,
2032,사용처,물건이나 돈 등을 사용한 곳이나 목적.,물건이나 돈 등을 사용한 곳이나 목적.,gloss,low,krdict:advanced-v2,,
2033,사임,맡고 있던 일자리를 스스로 그만둠.,맡고 있던 일자리를 스스로 그만둠.,gloss,low,krdict:advanced-v2,,
1916,사후관리,일이 끝난 뒤에도 지속적으로 유지되도록 체계적으로 관리하는 일.,일이 끝난 뒤에도 지속적으로 유지되도록 체계적으로 관리하는 일.,gloss,low,krdict:advanced-v2,,
2151,산정,계산함,정해진 방식에 따라 금액이나 값을 계산해 정하는 일입니다.,substitute,none,easydict:welfare-seed3,,
2034,상급,높은 등급이나 계급.,높은 등급이나 계급.,gloss,low,krdict:advanced-v2,,
2035,상이하다,서로 다르다.,서로 다르다.,gloss,low,krdict:advanced-v2,,
1882,상한,"위와 아래로 일정한 범위를 이루고 있을 때, 위쪽의 한계.","위와 아래로 일정한 범위를 이루고 있을 때, 위쪽의 한계.",gloss,low,krdict:advanced,,
2036,상호작용,짝을 이루거나 관계를 맺고 있는 이쪽과 저쪽 사이에서 이루어지는 작용.,짝을 이루거나 관계를 맺고 있는 이쪽과 저쪽 사이에서 이루어지는 작용.,gloss,low,krdict:advanced-v2,,
1794,생계,살림을 꾸리고 살아가는 방법이나 형편.,살림을 꾸리고 살아가는 방법이나 형편.,gloss,low,krdict:advanced,,
2037,생계비,살아가는 데 필요한 돈.,살아가는 데 필요한 돈.,gloss,low,krdict:advanced-v2,,
1911,생성,없던 사물이 새로 생겨남. 또는 사물이 생겨 이루어지게 함.,없던 사물이 새로 생겨남. 또는 사물이 생겨 이루어지게 함.,gloss,low,krdict:advanced-v2,,
1952,생활권,"출퇴근, 쇼핑, 오락 등의 일상생활을 하면서 활동하는 범위.","출퇴근, 쇼핑, 오락 등의 일상생활을 하면서 활동하는 범위.",gloss,low,krdict:advanced-v2,,
1931,서면,글,일정한 내용을 적은 문서.,substitute,none,krdict:advanced-v2,,
1953,서신,다른 사람에게 하고 싶은 말을 적어서 보내는 글.,다른 사람에게 하고 싶은 말을 적어서 보내는 글.,gloss,low,krdict:advanced-v2,,
