원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status
병역법,병역법,법률,,"니한 부사관 및 상근예비역으로 소집된 자, 「병역법」 제2조제1항제10호에 따른 사회복무요원으로",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
보호관찰 등에 관한 법률,보호관찰 등에 관한 법률,법률,,따른 학교 밖 청소년 지원 센터의 장 차. 「보호관찰 등에 관한 법률」 제14조에 따른 보호관찰소의 장 카. 그,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
보훈보상대상자 지원에 관한 법률,보훈보상대상자 지원에 관한 법률,법률,,보훈원: [[전화번호1]]  근거 법령 - 보훈보상대상자 지원에 관한 법률 - 참전유공자예우 및 단체설립에 관한 법률,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
본인일부부담금 산정특례에 관한 기준,본인일부부담금 산정특례에 관한 기준,법률,,"고시하는 중증질환, 희귀질환, 중증난치질환(「본인일부부담금 산정특례에 관한 기준」 [별표3], [별표4], [별표4의2]을",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
성매매방지 및 피해자보호 등에 관한 법률,성매매방지 및 피해자보호 등에 관한 법률,법률,,제31조에 따른 청소년복지시설의 장 나. 「성매매방지 및 피해자보호 등에 관한 법률」 제9조제1항제2호에 따른 청소년 지원시설의,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
소상공인 보호 및 지원에 관한 법률,소상공인 보호 및 지원에 관한 법률,법률,,경영 개선 활동을 지원합니다.  지원 대상 「소상공인 보호 및 지원에 관한 법률」 제2조의 소상공인을 대상으로 합니다.- 상,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
신의료기술평가에 관한 규칙,신의료기술평가에 관한 규칙,법률,,현장에진입할수있도록지원하고있다.평가유예기술은「신의료기술평가에관한규칙」(이하“신의료기술규칙”이라한다)에서정한요건을,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=2)",keep,high,review
아동복지법,아동복지법,법률,,중 소년소녀가정 지원대상에 해당하는 사람(「아동복지법」 제3조에 의한 가정위탁보호 아동을 포함),법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
의료기술재평가사업 사업지침,의료기술재평가사업 사업지침,법률,,「의료기술재평가사업 운영지침」 제정 전에는 「의료기술재평가사업 사업지침」에 따라 의료기술재평가사업을 운영 - 15,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
의료기술재평가사업관리지침,의료기술재평가사업관리지침,법률,,"서를공개(제12조)하도록규정하고있다.※개정전「의료기술재평가사업관리지침」에도재평가사업절차는동일.단,각단계별평가위원회",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
의료기술재평가사업운영지침,의료기술재평가사업운영지침,법률,,양적․질적방법론을활용하고있다.이와관련연구원은「의료기술재평가사업운영지침」에근거하여의료기술재평가사업을수행하기위하여①재,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
의료법,의료법,법률,,"보건복지부결정에따라조사를실시할수있다.아울러,「의료법」제55조(자료의수집업무등의위탁)및신의료기술규",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
장애인복지법,장애인복지법,법률,,"에 주민등록을 두고 거주하는 장애인가정으로, 장애인복지법에 따라 등록된 남성장애인의 비장애인 배우자",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=6)",keep,high,review
장애인복지법 시행령,장애인복지법 시행령,법률,,운영하고자 하는 모든 사업주를 지원합니다. 「장애인복지법 시행령」 제2조에 따른 장애인 기준에 해당하는 자,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
장애인연금법,장애인연금법,법률,,재해 부상 군경 본인에게 지급된 보상금 중 「장애인연금법」에 따른 기초급여액 및 부가급여액에 해당하는,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
제주특별자치도 지방보조금 관리 조례,제주특별자치도 지방보조금 관리 조례,법률,,년 제주향토음식 요리교실 사업자 모집 공고 「제주특별자치도 지방보조금 관리 조례」제14조 제1항에 의하여 『2026년 제주향,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
지방교육자치에 관한 법률,지방교육자치에 관한 법률,법률,,29조에 따른 청소년상담복지센터의 장 2. 「지방교육자치에 관한 법률」에 따른 시･도 교육청 및 교육지원청의 생활,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
지방세법,지방세법,법률,,"와 동일(다만, 생계급여 부양의무자와 달리 「지방세법」 제124조에 따른 자동차는 재산에 반영)",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
지역보건법,지역보건법,법률,,보건의료기관의 진료업무 담당 부서의 장 및 「지역보건법」 제10조에 따른 보건소(보건의료원을 포함,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
청소년복지 지원법,청소년복지 지원법,법률,,,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
청소년기본법,청소년기본법,법률,,위기(가능) 청소년(9세∼24세)2) 2) 청소년기본법에 따라 모든 서비스는 9세 이상 24세 이하,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
청소년복지 지원법 시행령,청소년복지 지원법 시행령,법률,,26년 청소년사업 안내 3 청소년안전망 운영(청소년복지 지원법 시행령 제4조제2항) 가. 위기청소년 발견 ･보호,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
초·중등교육법,초·중등교육법,법률,,"교, 대학등의 지원기준은 다음과 같습니다. 「초ㆍ중등교육법」 제2조 각 호의 학교의 수업료 등 : 면제",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=2) — 원래 두 표기('초ㆍ중등교육법' 아래아·'초･중등교육법' 반각 가운뎃점)로 중복 등재되어 있던 것을 국가법령정보센터 표기(중점 · U+00B7)로 병합. law.go.kr 법령 페이지 제목 및 학교생활기록부 종합지원포털(star.moe.go.kr) 표기 확인.",keep,high,review
평가유예신의료기술관리지침,평가유예신의료기술관리지침,법률,,조치를할수있도록정하고있다. - 5 - 그리고「평가유예신의료기술관리지침」(이하“관리지침”이라한다)에연구원은신청인이매,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
평생교육법,평생교육법,법률,,- 「고등교육법」 제2조 각 호의 학교 -「평생교육법」에 따라 학력과 학위가 인정되는 평생교육시설,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
학교 밖 청소년 지원에 관한 법률,학교 밖 청소년 지원에 관한 법률,법률,,"원스톱 지원센터’ 설치･운영 ’15.5 ∙ 학교 밖 청소년 지원에 관한 법률(2014.5.28. 제정, 2015.5.29",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
학점인정 등에 관한 법률,학점인정 등에 관한 법률,법률,,따라 학력과 학위가 인정되는 평생교육시설 -「학점인정 등에 관한 법률」에 따라 평가인정을 받은 학습과정을 운영하는,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
한부모가족지원법,한부모가족지원법,법률,,[별표4의2]을 가진 사람) (한부모가족)「한부모가족지원법」 제5조 및 제5조의2에 따른 지원대상자 (,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=3)",keep,high,review
한부모가족지원법 시행규칙,한부모가족지원법 시행규칙,법률,,- 생계급여 수급자 또는 의료급여수급자 -「한부모가족지원법 시행규칙」제3조에 따라 성평등가족부 장관이 정하는 기,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
함양군 저소득주민 국민건강보험료 지원 조례,함양군 저소득주민 국민건강보험료 지원 조례,법률,,"급여”라 한다) 수급자로 판정받은 사람 중 「함양군 저소득주민 국민건강보험료 지원조례」상의 지원 대상자로 한다. 다만, 부담금 지",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
해외이주법,해외이주법,법률,,상위계층에 해당하는 경우 4. 부양의무자가 「해외이주법」 제2조에 따른 해외이주자에 해당하는 경우,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
수급자,지금 급여를 받고 있는 사람,복지,국민기초생활보장제도에 따라 생계급여·의료급여 같은 복지 급여를 지금 실제로 받고 있는 사람입니다. '기초생활보장수급자'를 줄인 말입니다.,만 65세 이상 기초연금 수급자가 참여하실 수 있습니다.,"'수급권자'와 혼동하지 않도록 주의해야 합니다 — 코퍼스에서도 두 말이 구분되어 쓰입니다. 수급자는 지금 급여를 받고 있는 사람을 가리키는 말이고, 수급권자는 이와는 다른 자격 상태를 가리키는 별개의 법률 용어입니다. 정확한 정의는 「국민기초생활 보장법」 제2조를 확인해야 합니다. 두 말을 같은 뜻으로 바꿔 쓰면 실제로 급여를 받는지 여부가 달라 보일 수 있습니다.","easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') — '기초생활보장수급자(이하 ""수급자""라 함)' 반복 등장(L154, L610, L738, L1944, L2060, L2094, L2660, L2766) 및 L2039 '…급여를 받는 수급자' 문맥",gloss,high,review
수급권자,수급권자,복지,,,"'수급자'와 혼동하지 않도록 주의해야 합니다 — 수급자는 지금 급여를 받고 있는 사람을 가리키는 말이고, 수급권자는 이와는 다른 자격 상태를 가리키는 법률 용어입니다. 두 말을 같은 뜻으로 바꿔 쓰면 실제로 급여를 받는지 여부가 달라 보일 수 있습니다. 정확한 정의는 「국민기초생활 보장법」 제2조를 확인해야 하며, 이 사전은 확정된 뜻풀이를 제공하지 않습니다. 그러므로 이 말은 다른 표현으로 바꾸거나 설명을 덧붙이지 말고, 원어 그대로 두어야 합니다.","easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') L254(급여 신청 주체), L962(부양의무자 정의 중 '수급권자를 부양할 책임'), L1206(차상위계층 정의 중 '수급권자에 해당하지 아니하는 계층'), L449(개별가구 정의 중 '수급자 또는 수급권자로 구성된 가구') — 직접 정의문 없음, 문맥 종합",keep,high,review
생계급여,먹고 입고 사는 데 필요한 돈을 주는 급여,복지,"옷, 음식, 연료비처럼 살아가는 데 기본적으로 필요한 돈이나 물건을 지원해서 생활을 이어갈 수 있도록 돕는 급여입니다.","생계급여·의료급여·주거급여·교육급여 수급자 중 노인, 영유아, 장애인, 임산부, 중증질환자가 포함된 세대 세대원 중 해당자가 한 명이라도 있으면 신청할 수 있습니다.","의료급여·주거급여·교육급여와 함께 '4대 급여' 중 하나입니다. 코퍼스에는 네 급여가 한 문장에 같이 나오는 경우가 많은데(예: '생계급여·의료급여·주거급여·교육급여'), 이를 뭉뚱그려 '지원금'으로 바꾸면 어떤 급여인지 사라집니다. 각각 구분해서 남겨야 합니다.","easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') L1479, 「국민기초생활보장법」 제8조제1항",gloss,high,review
의료급여,병원비 등 치료비를 도와주는 급여,복지,아프거나 다쳐서 병원비를 내기 어려운 사람에게 나라가 의료비를 도와주는 제도입니다.,의료급여는 생활이 어려운 분들의 의료비를 국가가 지원하는 제도입니다.,"생계급여와는 별도의 급여로, 신청·지급 기준이 다릅니다. 서로 바꿔 쓰면 안 됩니다.","easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') L1819-1822, 「의료급여법」 제1조 등",gloss,high,review
주거급여,집세·집수리비를 도와주는 급여,복지,집을 빌려 사는 데 드는 돈(임차료)이나 집을 고치는 비용을 도와주는 급여입니다.,"주거급여, 교육급여 수급자 및 차상위계층은 10kg 1포당 10,000원을 개인부담합니다.",생계급여·의료급여·교육급여와 구분해야 합니다. 주거급여는 부양의무자 기준이 적용되지 않아(교육급여와 같음) 다른 급여와 신청 조건이 다릅니다.,"easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') L1684, 「국민기초생활 보장법」 제7조제1항제2호 및 「주거급여법」 제2조제1호",gloss,high,review
교육급여,학비·학용품값을 도와주는 급여,복지,"학교에 다니는 데 필요한 입학금, 수업료, 학용품 값 등을 도와주는 급여입니다.","생계급여·의료급여·주거급여·교육급여 수급자 중 노인, 영유아, 장애인, 임산부, 중증질환자가 포함된 세대 세대원 중 해당자가 한 명이라도 있으면 신청할 수 있습니다.",다른 3개 급여(생계·의료·주거)와 구분해야 합니다. 주거급여와 마찬가지로 부양의무자 기준이 적용되지 않습니다.,"easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') L1939-1942, 「국민기초생활 보장법」 제7조제1항제4호",gloss,high,review
차상위계층,기초생활수급자 바로 위 소득의 저소득층,복지,"기초생활수급자는 아니지만, 소득이 적어서(기준 중위소득의 50% 이하) 여러 지원을 받을 수 있는 사람들입니다.","기초생활수급자는 부담금이 없으며, 차상위계층은 월 2만 원입니다.","'기초생활수급자'와는 다른 자격입니다. 차상위계층은 정의상 기초생활수급자가 '아닌' 사람들을 가리키므로, 두 말을 같은 뜻으로 쓰면 대상이 완전히 달라집니다. 실제로 코퍼스에 두 자격의 금액 차이가 그대로 나옵니다: ""기초생활수급자는 부담금이 없으며, 차상위계층은 월 2만 원입니다.""","easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') L1206-1211, 「국민기초생활보장법」 제2조제10호 및 시행령 제3조",gloss,high,review
기초생활수급자,수급자(생계급여 등을 받는 사람),복지,"'국민기초생활보장 수급자'를 줄인 말로, 생계급여·의료급여 등 국민기초생활보장제도의 급여를 받는 사람입니다. 문서에서는 흔히 '수급자'라고만 씁니다.","기초생활수급자는 부담금이 없으며, 차상위계층은 월 2만 원입니다.","'차상위계층'과 다른 자격입니다(차상위계층 항목 참고). 소득 구간이 겹치지 않으므로 섞어 쓰면 안 됩니다. 실제로 코퍼스에 두 자격의 금액 차이가 그대로 나옵니다: ""기초생활수급자는 부담금이 없으며, 차상위계층은 월 2만 원입니다.""","easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') — '기초생활보장수급자(이하 ""수급자""라 함)' 반복 등장(L154, L610, L738, L1944, L2060, L2094, L2660, L2766)",gloss,high,review
중위소득,소득을 줄 세웠을 때 한가운데 값,복지,"국민 가구소득을 순서대로 세웠을 때 정확히 가운데에 있는 금액입니다. 보건복지부가 해마다 정해서 발표하며, 복지 급여를 받을 수 있는지 정하는 기준으로 씁니다.",기준 중위소득 50퍼센트 이하 가구로서 차상위 자격이 결정된 분입니다.,"'소득인정액'과 다른 개념입니다. 중위소득은 나라 전체의 기준값(모두에게 같음)이고, 소득인정액은 내 가구의 실제 소득을 계산한 값(가구마다 다름)입니다. 소득인정액을 중위소득과 비교해서 자격을 정합니다. 코퍼스의 '중위소득'은 공식 명칭 '기준 중위소득'의 줄임 표현으로 보입니다.","easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') L534-539, 「국민기초생활 보장법」 제2조제11호(공식 명칭: 기준 중위소득)",gloss,high,review
소득인정액,심사에 쓰는 우리 가구의 소득·재산 계산값,복지,"국가가 급여를 정할 때 쓰려고 계산한, 우리 가구의 소득과 재산을 합친 금액입니다.",,"'중위소득'과 다릅니다(중위소득 항목 참고). 소득인정액은 실제 버는 돈에 재산을 소득으로 바꿔 더한 값이라, 통장에 찍히는 월급과 다를 수 있습니다.","easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') L571-576, 「국민기초생활 보장법」 제2조제9호",gloss,high,review
소득평가액,소득인정액을 구할 때 쓰는 소득 부분 계산값,복지,실제로 번 돈(실제소득)에서 가구 형편에 따라 빼주는 비용을 뺀 금액입니다. 이 값에 재산을 소득으로 바꾼 금액을 더하면 소득인정액이 됩니다.,,"'소득인정액'의 절반짜리 부품 개념입니다. 소득평가액에 재산의 소득환산액을 더해야 최종 소득인정액이 되므로, 소득평가액만 보고 자격을 판단하면 안 됩니다.","easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') L571-580, 「국민기초생활 보장법」 제2조제9호 관련",gloss,low,review
실제소득,실제로 들어오는 돈,복지,"근로소득, 사업소득, 재산소득, 그 밖에 받는 돈을 모두 합한, 실제로 들어오는 소득입니다.",,"소득평가액을 구하는 재료 중 하나입니다. 실제소득 그대로 자격을 판단하지 않고, 여기서 여러 비용을 뺀 '소득평가액'을 기준으로 심사합니다.","easylaw_giaebo_full.txt (법제처 찾기쉬운 생활법령정보 '기초생활보장') L629-632, 「국민기초생활보장법 시행령」 제5조제1항",gloss,low,review
